Policy,Distribution,Instance,Objective
Adaptive,R101,1,71
Adaptive,R101,2,72
Adaptive,R101,3,67
Adaptive,R101,4,69
Adaptive,R101,5,68
Adaptive,R101,6,69
Adaptive,R101,7,65
Adaptive,R101,8,64
Adaptive,R101,9,68
Adaptive,R101,10,68
Adaptive,RC101,1,56
Adaptive,RC101,2,60
Adaptive,RC101,3,61
Adaptive,RC101,4,56
Adaptive,RC101,5,57
Adaptive,RC101,6,60
Adaptive,RC101,7,63
Adaptive,RC101,8,57
Adaptive,RC101,9,64
Adaptive,RC101,10,59
Adaptive,C101,1,63
Adaptive,C101,2,60
Adaptive,C101,3,64
Adaptive,C101,4,60
Adaptive,C101,5,60
Adaptive,C101,6,59
Adaptive,C101,7,69
Adaptive,C101,8,64
Adaptive,C101,9,61
Adaptive,C101,10,65
Adaptive,C201,1,59
Adaptive,C201,2,59
Adaptive,C201,3,64
Adaptive,C201,4,59
Adaptive,C201,5,64
Adaptive,C201,6,66
Adaptive,C201,7,65
Adaptive,C201,8,63
Adaptive,C201,9,57
Adaptive,C201,10,63
Greedy,R101,1,70
Greedy,R101,2,70
Greedy,R101,3,67
Greedy,R101,4,67
Greedy,R101,5,67
Greedy,R101,6,64
Greedy,R101,7,62
Greedy,R101,8,61
Greedy,R101,9,66
Greedy,R101,10,63
Greedy,RC101,1,51
Greedy,RC101,2,55
Greedy,RC101,3,57
Greedy,RC101,4,54
Greedy,RC101,5,55
Greedy,RC101,6,58
Greedy,RC101,7,49
Greedy,RC101,8,53
Greedy,RC101,9,60
Greedy,RC101,10,58
Greedy,C101,1,51
Greedy,C101,2,55
Greedy,C101,3,57
Greedy,C101,4,50
Greedy,C101,5,47
Greedy,C101,6,56
Greedy,C101,7,67
Greedy,C101,8,52
Greedy,C101,9,51
Greedy,C101,10,51
Greedy,C201,1,57
Greedy,C201,2,57
Greedy,C201,3,61
Greedy,C201,4,58
Greedy,C201,5,54
Greedy,C201,6,53
Greedy,C201,7,55
Greedy,C201,8,48
Greedy,C201,9,51
Greedy,C201,10,63